File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020304.cha,eng,Brown,CHI,2;03.04,male,TD,.,MC,Target_Child,.,.,1239,2614,2.11,1.047
020318.cha,eng,Brown,CHI,2;03.18,male,TD,.,MC,Target_Child,.,.,1272,2750,2.162,1.02
020403.cha,eng,Brown,CHI,2;04.03,male,TD,.,MC,Target_Child,.,.,830,1999,2.408,1.194
020415.cha,eng,Brown,CHI,2;04.15,male,TD,.,MC,Target_Child,.,.,774,1434,1.853,0.884
020430.cha,eng,Brown,CHI,2;04.30,male,TD,.,MC,Target_Child,.,.,837,1952,2.332,1.283
020512.cha,eng,Brown,CHI,2;05.12,male,TD,.,MC,Target_Child,.,.,810,1871,2.31,1.313
020603.cha,eng,Brown,CHI,2;06.03,male,TD,.,MC,Target_Child,.,.,849,2220,2.615,1.476
020617.cha,eng,Brown,CHI,2;06.17,male,TD,.,MC,Target_Child,.,.,635,1890,2.976,1.503
020701.cha,eng,Brown,CHI,2;07.01,male,TD,.,MC,Target_Child,.,.,853,2223,2.606,1.349
020714.cha,eng,Brown,CHI,2;07.14,male,TD,.,MC,Target_Child,.,.,912,2396,2.627,1.583
020801.cha,eng,Brown,CHI,2;08.01,male,TD,.,MC,Target_Child,.,.,853,2405,2.819,1.544
020816.cha,eng,Brown,CHI,2;08.16,male,TD,.,MC,Target_Child,.,.,725,1799,2.481,1.377
020904.cha,eng,Brown,CHI,2;09.04,male,TD,.,MC,Target_Child,.,.,525,1276,2.43,1.253
020918.cha,eng,Brown,CHI,2;09.18,male,TD,.,MC,Target_Child,.,.,569,1402,2.464,1.353
021002.cha,eng,Brown,CHI,2;10.02,male,TD,.,MC,Target_Child,.,.,752,2089,2.778,1.533
021016.cha,eng,Brown,CHI,2;10.16,male,TD,.,MC,Target_Child,.,.,645,1711,2.653,1.299
021030.cha,eng,Brown,CHI,2;10.30,male,TD,.,MC,Target_Child,.,.,832,2604,3.13,1.81
021113.cha,eng,Brown,CHI,2;11.13,male,TD,.,MC,Target_Child,.,.,953,2495,2.618,1.487
021128.cha,eng,Brown,CHI,2;11.28,male,TD,.,MC,Target_Child,.,.,1025,3520,3.434,1.925
030011.cha,eng,Brown,CHI,3;00.11,male,TD,.,MC,Target_Child,.,.,1020,3567,3.497,2.022
030025.cha,eng,Brown,CHI,3;00.25,male,TD,.,MC,Target_Child,.,.,920,3746,4.072,2.323
030109.cha,eng,Brown,CHI,3;01.09,male,TD,.,MC,Target_Child,.,.,966,3805,3.939,2.405
030126.cha,eng,Brown,CHI,3;01.26,male,TD,.,MC,Target_Child,.,.,928,3490,3.761,2.258
030209.cha,eng,Brown,CHI,3;02.09,male,TD,.,MC,Target_Child,.,.,805,2751,3.417,2.123
030221.cha,eng,Brown,CHI,3;02.21,male,TD,.,MC,Target_Child,.,.,1006,3805,3.782,2.227
030304.cha,eng,Brown,CHI,3;03.04,male,TD,.,MC,Target_Child,.,.,869,3295,3.792,2.231
030318.cha,eng,Brown,CHI,3;03.18,male,TD,.,MC,Target_Child,.,.,971,4205,4.331,2.523
030401.cha,eng,Brown,CHI,3;04.01,male,TD,.,MC,Target_Child,.,.,890,3603,4.048,2.376
030418.cha,eng,Brown,CHI,3;04.18,male,TD,.,MC,Target_Child,.,.,877,3831,4.368,2.692
030501.cha,eng,Brown,CHI,3;05.01,male,TD,.,MC,Target_Child,.,.,926,3750,4.05,2.294
030515.cha,eng,Brown,CHI,3;05.15,male,TD,.,MC,Target_Child,.,.,740,2957,3.996,2.148
030529.cha,eng,Brown,CHI,3;05.29,male,TD,.,MC,Target_Child,.,.,824,3353,4.069,2.308
030609.cha,eng,Brown,CHI,3;06.09,male,TD,.,MC,Target_Child,.,.,631,2673,4.236,2.269
030707.cha,eng,Brown,CHI,3;07.07,male,TD,.,MC,Target_Child,.,.,756,3175,4.2,2.695
030801.cha,eng,Brown,CHI,3;08.01,male,TD,.,MC,Target_Child,.,.,765,3364,4.397,2.431
030814.cha,eng,Brown,CHI,3;08.14,male,TD,.,MC,Target_Child,.,.,889,3428,3.856,2.157
030826.cha,eng,Brown,CHI,3;08.26,male,TD,.,MC,Target_Child,.,.,886,3787,4.274,2.244
030916.cha,eng,Brown,CHI,3;09.16,male,TD,.,MC,Target_Child,.,.,757,3353,4.429,2.574
031015.cha,eng,Brown,CHI,3;10.15,male,TD,.,MC,Target_Child,.,.,536,2352,4.388,2.551
031101.cha,eng,Brown,CHI,3;11.01,male,TD,.,MC,Target_Child,.,.,657,2966,4.514,2.506
031114.cha,eng,Brown,CHI,3;11.14,male,TD,.,MC,Target_Child,.,.,718,3103,4.322,2.504
040014.cha,eng,Brown,CHI,4;00.14,male,TD,.,MC,Target_Child,.,.,757,3588,4.74,2.389
040115.cha,eng,Brown,CHI,4;01.15,male,TD,.,MC,Target_Child,.,.,1067,5082,4.763,2.577
040217.cha,eng,Brown,CHI,4;02.17,male,TD,.,MC,Target_Child,.,.,697,3270,4.692,2.802
040309.cha,eng,Brown,CHI,4;03.09,male,TD,.,MC,Target_Child,.,.,719,3819,5.312,2.935
040401.cha,eng,Brown,CHI,4;04.01,male,TD,.,MC,Target_Child,.,.,763,3885,5.092,3.046
040413.cha,eng,Brown,CHI,4;04.13,male,TD,.,MC,Target_Child,.,.,820,3942,4.807,2.631
040511.cha,eng,Brown,CHI,4;05.11,male,TD,.,MC,Target_Child,.,.,777,3845,4.949,2.545
040624.cha,eng,Brown,CHI,4;06.24,male,TD,.,MC,Target_Child,.,.,898,4450,4.955,2.786
040701.cha,eng,Brown,CHI,4;07.01,male,TD,.,MC,Target_Child,.,.,811,3895,4.803,2.909
040729.cha,eng,Brown,CHI,4;07.29,male,TD,.,MC,Target_Child,.,.,557,2733,4.907,2.735
040902.cha,eng,Brown,CHI,4;09.02,male,TD,.,MC,Target_Child,.,.,655,3287,5.018,3.252
041002.cha,eng,Brown,CHI,4;10.02,male,TD,.,MC,Target_Child,.,.,795,3916,4.926,2.657
041023.cha,eng,Brown,CHI,4;10.23,male,TD,.,MC,Target_Child,.,.,938,4534,4.834,2.695
050212.cha,eng,Brown,CHI,5;02.12,male,TD,.,MC,Target_Child,.,.,1089,5310,4.876,3.079
