File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010413.cha,fra,Paris,CHI,1;04.13,female,.,.,.,Target_Child,.,.,85,127,1.494,1.289
010608.cha,fra,Paris,CHI,1;06.08,female,.,.,.,Target_Child,.,.,191,230,1.204,0.667
010703.cha,fra,Paris,CHI,1;07.03,female,.,.,.,Target_Child,.,.,268,350,1.306,0.72
010904.cha,fra,Paris,CHI,1;09.04,female,.,.,.,Target_Child,.,.,220,290,1.318,0.587
011017.cha,fra,Paris,CHI,1;10.17,female,.,.,.,Target_Child,.,.,166,283,1.705,0.838
020000.cha,fra,Paris,CHI,2;00.01,female,.,.,.,Target_Child,.,.,491,1220,2.485,1.368
020025.cha,fra,Paris,CHI,2;00.25,female,.,.,.,Target_Child,.,.,205,544,2.654,1.647
020105.cha,fra,Paris,CHI,2;01.05,female,.,.,.,Target_Child,.,.,375,802,2.139,1.367
020216.cha,fra,Paris,CHI,2;02.16,female,.,.,.,Target_Child,.,.,360,1047,2.908,1.928
020329.cha,fra,Paris,CHI,2;03.29,female,.,.,.,Target_Child,.,.,412,920,2.233,1.466
020428.cha,fra,Paris,CHI,2;04.28,female,.,.,.,Target_Child,.,.,419,1119,2.671,1.82
020529.cha,fra,Paris,CHI,2;05.29,female,.,.,.,Target_Child,.,.,527,1658,3.146,2.072
020626.cha,fra,Paris,CHI,2;06.26,female,.,.,.,Target_Child,.,.,532,1664,3.128,2.181
020804.cha,fra,Paris,CHI,2;08.04,female,.,.,.,Target_Child,.,.,301,830,2.757,2.139
020923.cha,fra,Paris,CHI,2;09.23,female,.,.,.,Target_Child,.,.,353,943,2.671,1.848
021023.cha,fra,Paris,CHI,2;10.23,female,.,.,.,Target_Child,.,.,465,1301,2.798,2.099
021122.cha,fra,Paris,CHI,2;11.22,female,.,.,.,Target_Child,.,.,474,1465,3.091,2.737
030107.cha,fra,Paris,CHI,3;01.07,female,.,.,.,Target_Child,.,.,336,1054,3.137,2.19
030300.cha,fra,Paris,CHI,3;03.,female,.,.,.,Target_Child,.,.,549,1641,2.989,2.472
030427.cha,fra,Paris,CHI,3;04.27,female,.,.,.,Target_Child,.,.,658,2298,3.492,2.279
030522.cha,fra,Paris,CHI,3;05.22,female,.,.,.,Target_Child,.,.,501,1810,3.613,2.562
030626.cha,fra,Paris,CHI,3;06.26,female,.,.,.,Target_Child,.,.,579,2091,3.611,2.799
030809.cha,fra,Paris,CHI,3;08.09,female,.,.,.,Target_Child,.,.,480,1463,3.048,2.18
031000.cha,fra,Paris,CHI,3;10.,female,.,.,.,Target_Child,.,.,472,2581,5.468,4.292
040012.cha,fra,Paris,CHI,4;00.12,female,.,.,.,Target_Child,.,.,650,3367,5.18,3.648
040117.cha,fra,Paris,CHI,4;01.17,female,.,.,.,Target_Child,.,.,540,1948,3.607,3.106
040410.cha,fra,Paris,CHI,4;04.10,female,.,.,.,Target_Child,.,.,540,1823,3.376,2.573
040523.cha,fra,Paris,CHI,4;05.23,female,.,.,.,Target_Child,.,.,538,1663,3.091,2.338
040808.cha,fra,Paris,CHI,4;08.08,female,.,.,.,Target_Child,.,.,456,1335,2.928,2.588
050120.cha,"fra, fra",Paris,CHI,5;01.20,female,.,.,.,Target_Child,.,.,496,1837,3.704,3.582
050706.cha,fra,Paris,CHI,5;07.06,female,.,.,.,Target_Child,.,.,545,1978,3.629,3.554
051030.cha,fra,Paris,CHI,5;10.30,female,.,.,.,Target_Child,.,.,402,1305,3.246,2.873
