File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
10023a.cha,fra,Lyon,CHI,1;00.23,female,.,.,.,Target_Child,.,.,6,6,1,0
10023b.cha,fra,Lyon,CHI,1;00.23,female,.,.,.,Target_Child,.,.,12,12,1,0
10113a.cha,fra,Lyon,CHI,1;01.13,female,.,.,.,Target_Child,.,.,20,21,1.05,0.218
10113b.cha,fra,Lyon,CHI,1;01.13,female,.,.,.,Target_Child,.,.,5,7,1.4,0.8
10127a.cha,fra,Lyon,CHI,1;01.27,female,.,.,.,Target_Child,.,.,46,46,1,0
10127b.cha,fra,Lyon,CHI,1;01.27,female,.,.,.,Target_Child,.,.,17,19,1.118,0.471
10211a.cha,fra,Lyon,CHI,1;02.11,female,.,.,.,Target_Child,.,.,14,15,1.071,0.258
10211b.cha,fra,Lyon,CHI,1;02.11,female,.,.,.,Target_Child,.,.,12,12,1,0
10303a.cha,fra,Lyon,CHI,1;03.03,female,.,.,.,Target_Child,.,.,24,26,1.083,0.276
10303b.cha,fra,Lyon,CHI,1;03.03,female,.,.,.,Target_Child,.,.,21,24,1.143,0.35
10315a.cha,fra,Lyon,CHI,1;03.15,female,.,.,.,Target_Child,.,.,21,24,1.143,0.467
10315b.cha,fra,Lyon,CHI,1;03.15,female,.,.,.,Target_Child,.,.,21,22,1.048,0.213
10401a.cha,fra,Lyon,CHI,1;04.01,female,.,.,.,Target_Child,.,.,48,99,2.063,1.651
10401b.cha,fra,Lyon,CHI,1;04.01,female,.,.,.,Target_Child,.,.,20,37,1.85,1.236
10419a.cha,fra,Lyon,CHI,1;04.19,female,.,.,.,Target_Child,.,.,29,32,1.103,0.305
10419b.cha,fra,Lyon,CHI,1;04.19,female,.,.,.,Target_Child,.,.,17,17,1,0
10503a.cha,fra,Lyon,CHI,1;05.03,female,.,.,.,Target_Child,.,.,64,69,1.078,0.321
