File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
011012.cha,fra,York,CHI,1;10.12,.,.,.,.,Target_Child,.,.,162,277,1.71,1.115
011026.cha,fra,York,CHI,1;10.26,.,.,.,.,Target_Child,.,.,201,384,1.91,1.227
011113.cha,fra,York,CHI,1;11.13,.,.,.,.,Target_Child,.,.,193,400,2.073,1.075
011129.cha,fra,York,CHI,1;11.29,.,.,.,.,Target_Child,.,.,104,177,1.702,0.919
020013.cha,fra,York,CHI,2;00.13,.,.,.,.,Target_Child,.,.,70,150,2.143,1.046
020027.cha,"fra , eng",York,CHI,2;00.27,.,.,.,.,Target_Child,.,.,134,311,2.321,1.459
020119.cha,fra,York,CHI,2;01.19,.,.,.,.,Target_Child,.,.,192,462,2.406,1.521
020200.cha,fra,York,CHI,2;02.,.,.,.,.,Target_Child,.,.,150,347,2.313,1.429
020220.cha,fra,York,CHI,2;02.20,.,.,.,.,Target_Child,.,.,178,380,2.135,1.247
020230.cha,fra,York,CHI,2;02.30,.,.,.,.,Target_Child,.,.,173,396,2.289,1.325
020315.cha,fra,York,CHI,2;03.15,.,.,.,.,Target_Child,.,.,100,232,2.32,1.363
020402.cha,fra,York,CHI,2;04.02,.,.,.,.,Target_Child,.,.,210,550,2.619,1.502
020420.cha,fra,York,CHI,2;04.20,.,.,.,.,Target_Child,.,.,157,429,2.732,1.582
020504.cha,fra,York,CHI,2;05.04,.,.,.,.,Target_Child,.,.,268,679,2.534,1.389
020518.cha,fra,York,CHI,2;05.18,.,.,.,.,Target_Child,.,.,353,1092,3.093,1.942
020602.cha,fra,York,CHI,2;06.02,.,.,.,.,Target_Child,.,.,270,863,3.196,1.969
020618.cha,fra,York,CHI,2;06.18,.,.,.,.,Target_Child,.,.,252,750,2.976,1.621
020701.cha,fra,York,CHI,2;07.01,.,.,.,.,Target_Child,.,.,192,520,2.708,1.848
020716.cha,fra,York,CHI,2;07.16,.,.,.,.,Target_Child,.,.,176,570,3.239,2.294
020803.cha,fra,York,CHI,2;08.03,.,.,.,.,Target_Child,.,.,270,716,2.652,1.628
020820.cha,fra,York,CHI,2;08.20,.,.,.,.,Target_Child,.,.,358,1200,3.352,1.933
020915.cha,fra,York,CHI,2;09.15,.,.,.,.,Target_Child,.,.,242,801,3.31,2.287
021018.cha,fra,York,CHI,2;10.18,.,.,.,.,Target_Child,.,.,386,1295,3.355,2.492
021102.cha,"fra , eng",York,CHI,2;11.02,.,.,.,.,Target_Child,.,.,368,1348,3.663,2.44
030002.cha,fra,York,CHI,3;00.02,.,.,.,.,Target_Child,.,.,378,1532,4.053,2.708
030010.cha,fra,York,CHI,3;00.10,.,.,.,.,Target_Child,.,.,236,762,3.229,2.42
030104.cha,fra,York,CHI,3;01.04,.,.,.,.,Target_Child,.,.,329,1250,3.799,2.484
030115.cha,fra,York,CHI,3;01.15,.,.,.,.,Target_Child,.,.,283,963,3.403,2.208
030204.cha,fra,York,CHI,3;02.04,.,.,.,.,Target_Child,.,.,219,910,4.155,2.639
030209.cha,fra,York,CHI,3;02.09,.,.,.,.,Target_Child,.,.,273,1166,4.271,2.956
030229.cha,fra,York,CHI,3;02.29,.,.,.,.,Target_Child,.,.,274,1103,4.026,3.293
030316.cha,fra,York,CHI,3;03.16,.,.,.,.,Target_Child,.,.,307,1288,4.195,3.037
030409.cha,fra,York,CHI,3;04.09,.,.,.,.,Target_Child,.,.,217,847,3.903,2.677
030423.cha,fra,York,CHI,3;04.23,.,.,.,.,Target_Child,.,.,219,844,3.854,2.558
030504.cha,fra,York,CHI,3;05.04,.,.,.,.,Target_Child,.,.,247,1024,4.146,2.674
