File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010906x.cha,fra,Champaud,CHI,1;09.06,.,.,.,.,Target_Child,.,.,8,17,2.125,1.691
010918.cha,fra,Champaud,CHI,1;09.18,.,.,.,.,Target_Child,.,.,189,354,1.873,1.076
010918x.cha,fra,Champaud,CHI,1;09.18,.,.,.,.,Target_Child,.,.,75,178,2.373,1.209
010928.cha,fra,Champaud,CHI,1;09.28,.,.,.,.,Target_Child,.,.,450,853,1.896,1.011
011003.cha,fra,Champaud,CHI,1;10.03,.,.,.,.,Target_Child,.,.,346,634,1.832,1.07
011003x.cha,fra,Champaud,CHI,1;10.03,.,.,.,.,Target_Child,.,.,5,13,2.6,1.2
011024x.cha,fra,Champaud,CHI,1;10.24,.,.,.,.,Target_Child,.,.,3,8,2.667,0.471
011121x.cha,fra,Champaud,CHI,1;11.21,.,.,.,.,Target_Child,.,.,29,46,1.586,1.001
011122.cha,fra,Champaud,CHI,1;11.22,.,.,.,.,Target_Child,.,.,222,437,1.968,1.278
020124x.cha,fra,Champaud,CHI,2;01.24,.,.,.,.,Target_Child,.,.,21,81,3.857,1.934
020125.cha,fra,Champaud,CHI,2;01.25,.,.,.,.,Target_Child,.,.,142,316,2.225,1.612
020300x.cha,fra,Champaud,CHI,2;03.,.,.,.,.,Target_Child,.,.,8,36,4.5,1.414
020301.cha,fra,Champaud,CHI,2;03.01,.,.,.,.,Target_Child,.,.,387,982,2.537,1.577
020501.cha,fra,Champaud,CHI,2;05.01,.,.,.,.,Target_Child,.,.,218,721,3.307,2.437
020501x.cha,fra,Champaud,CHI,2;05.01,.,.,.,.,Target_Child,.,.,16,95,5.938,3.211
020513.cha,fra,Champaud,CHI,2;05.13,.,.,.,.,Target_Child,.,.,449,1743,3.882,2.404
020513x.cha,fra,Champaud,CHI,2;05.13,.,.,.,.,Target_Child,.,.,25,148,5.92,3.719
020527.cha,fra,Champaud,CHI,2;05.27,.,.,.,.,Target_Child,.,.,438,2101,4.797,3.058
020527x.cha,fra,Champaud,CHI,2;05.27,.,.,.,.,Target_Child,.,.,20,96,4.8,3.326
020617x.cha,fra,Champaud,CHI,2;06.17,.,.,.,.,Target_Child,.,.,64,409,6.391,3.024
020701x.cha,fra,Champaud,CHI,2;07.01,.,.,.,.,Target_Child,.,.,2,15,7.5,3.5
020722x.cha,fra,Champaud,CHI,2;07.22,.,.,.,.,Target_Child,.,.,16,98,6.125,2.69
020813x.cha,fra,Champaud,CHI,2;08.13,.,.,.,.,Target_Child,.,.,2,19,9.5,0.5
020903x.cha,fra,Champaud,CHI,2;09.03,.,.,.,.,Target_Child,.,.,8,66,8.25,4.054
021000x.cha,fra,Champaud,CHI,2;10.,.,.,.,.,Target_Child,.,.,7,40,5.714,4.165
021009x.cha,fra,Champaud,CHI,2;10.09,.,.,.,.,Target_Child,.,.,20,160,8,2.302
021122x.cha,fra,Champaud,CHI,2;11.22,.,.,.,.,Target_Child,.,.,7,66,9.429,4.101
030011x.cha,fra,Champaud,CHI,3;00.11,.,.,.,.,Target_Child,.,.,9,79,8.778,4.34
030109x.cha,fra,Champaud,CHI,3;01.09,.,.,.,.,Target_Child,.,.,12,92,7.667,5.022
030129x.cha,fra,Champaud,CHI,3;01.29,.,.,.,.,Target_Child,.,.,3,23,7.667,5.249
030414x.cha,fra,Champaud,CHI,3;04.14,.,.,.,.,Target_Child,.,.,6,45,7.5,3.594
030512x.cha,fra,Champaud,CHI,3;05.12,.,.,.,.,Target_Child,.,.,56,407,7.268,3.193
