File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010826.cha,fra,Geneva,CHI,1;08.26,.,.,.,.,Target_Child,.,.,389,616,1.584,0.852
010903.cha,fra,Geneva,CHI,1;09.03,.,.,.,.,Target_Child,.,.,412,724,1.757,1.114
010910.cha,fra,Geneva,CHI,1;09.10,.,.,.,.,Target_Child,.,.,424,826,1.948,1.076
010916.cha,fra,Geneva,CHI,1;09.16,.,.,.,.,Target_Child,.,.,283,509,1.799,0.972
011001.cha,fra,Geneva,CHI,1;10.01,.,.,.,.,Target_Child,.,.,210,413,1.967,1.201
011022.cha,fra,Geneva,CHI,1;10.22,.,.,.,.,Target_Child,.,.,297,634,2.135,1.226
011105.cha,fra,Geneva,CHI,1;11.05,.,.,.,.,Target_Child,.,.,238,461,1.937,1.156
011118.cha,fra,Geneva,CHI,1;11.18,.,.,.,.,Target_Child,.,.,299,685,2.291,1.39
020009.cha,fra,Geneva,CHI,2;00.09,.,.,.,.,Target_Child,.,.,263,577,2.194,1.304
020104.cha,fra,Geneva,CHI,2;01.04,.,.,.,.,Target_Child,.,.,270,690,2.556,1.663
020107.cha,fra,Geneva,CHI,2;01.07,.,.,.,.,Target_Child,.,.,242,431,1.781,1.035
020128.cha,fra,Geneva,CHI,2;01.28,.,.,.,.,Target_Child,.,.,454,975,2.148,1.38
020211.cha,fra,Geneva,CHI,2;02.11,.,.,.,.,Target_Child,.,.,357,829,2.322,1.563
020303.cha,fra,Geneva,CHI,2;03.03,.,.,.,.,Target_Child,.,.,164,342,2.085,1.332
020313.cha,fra,Geneva,CHI,2;03.13,.,.,.,.,Target_Child,.,.,426,1034,2.427,1.688
020526.cha,fra,Geneva,CHI,2;05.26,.,.,.,.,Target_Child,.,.,283,836,2.954,2.152
020610.cha,fra,Geneva,CHI,2;06.10,.,.,.,.,Target_Child,.,.,494,1390,2.814,1.83
