File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020822.cha,fra,York,CHI,2;08.22,.,.,.,.,Target_Child,.,.,366,1605,4.385,3.182
020905.cha,fra,York,CHI,2;09.05,.,.,.,.,Target_Child,.,.,330,1485,4.5,4.216
020921.cha,fra,York,CHI,2;09.21,.,.,.,.,Target_Child,.,.,263,850,3.232,2.45
021007.cha,fra,York,CHI,2;10.07,.,.,.,.,Target_Child,.,.,363,2087,5.749,4.749
021021.cha,fra,York,CHI,2;10.21,.,.,.,.,Target_Child,.,.,174,604,3.471,2.76
021104.cha,fra,York,CHI,2;11.04,.,.,.,.,Target_Child,.,.,245,845,3.449,2.504
021118.cha,fra,York,CHI,2;11.18,.,.,.,.,Target_Child,.,.,215,873,4.06,2.889
030005.cha,fra,York,CHI,3;00.05,.,.,.,.,Target_Child,.,.,352,1494,4.244,3.454
030024.cha,fra,York,CHI,3;00.24,.,.,.,.,Target_Child,.,.,404,1536,3.802,3.054
030107.cha,fra,York,CHI,3;01.07,.,.,.,.,Target_Child,.,.,323,1019,3.155,2.727
030224.cha,fra,York,CHI,3;02.24,.,.,.,.,Target_Child,.,.,216,737,3.412,3.796
030308.cha,fra,York,CHI,3;03.08,.,.,.,.,Target_Child,.,.,267,1046,3.918,2.843
030325.cha,fra,York,CHI,3;03.25,.,.,.,.,Target_Child,.,.,319,1393,4.367,3.451
030408.cha,fra,York,CHI,3;04.08,.,.,.,.,Target_Child,.,.,277,1424,5.141,4.344
030422.cha,fra,York,CHI,3;04.22,.,.,.,.,Target_Child,.,.,262,1068,4.076,3.071
030506.cha,fra,York,CHI,3;05.06,.,.,.,.,Target_Child,.,.,283,1332,4.707,4.143
030517.cha,fra,York,CHI,3;05.17,.,.,.,.,Target_Child,.,.,375,1833,4.888,3.857
030604.cha,fra,York,CHI,3;06.04,.,.,.,.,Target_Child,.,.,220,1174,5.336,3.925
030617.cha,fra,York,CHI,3;06.17,.,.,.,.,Target_Child,.,.,269,1548,5.755,4.399
030701.cha,fra,York,CHI,3;07.01,.,.,.,.,Target_Child,.,.,275,1773,6.447,4.764
030722.cha,fra,York,CHI,3;07.22,.,.,.,.,Target_Child,.,.,236,1273,5.394,4.245
030810.cha,fra,York,CHI,3;08.10,.,.,.,.,Target_Child,.,.,366,1986,5.426,4.475
030826.cha,fra,York,CHI,3;08.26,.,.,.,.,Target_Child,.,.,368,2559,6.954,5.814
030909.cha,fra,York,CHI,3;09.09,.,.,.,.,Target_Child,.,.,343,1997,5.822,4.697
030923.cha,fra,York,CHI,3;09.23,.,.,.,.,Target_Child,.,.,288,1466,5.09,4.504
031007.cha,fra,York,CHI,3;10.07,.,.,.,.,Target_Child,.,.,309,1821,5.893,4.349
031023.cha,fra,York,CHI,3;10.23,.,.,.,.,Target_Child,.,.,261,1286,4.927,3.706
031106.cha,fra,York,CHI,3;11.06,.,.,.,.,Target_Child,.,.,347,1581,4.556,3.656
031120.cha,fra,York,CHI,3;11.20,.,.,.,.,Target_Child,.,.,365,1603,4.392,3.08
040008.cha,fra,York,CHI,4;00.08,.,.,.,.,Target_Child,.,.,361,1922,5.324,4.552
040025.cha,fra,York,CHI,4;00.25,.,.,.,.,Target_Child,.,.,281,1443,5.135,3.998
040119.cha,fra,York,CHI,4;01.19,.,.,.,.,Target_Child,.,.,449,2358,5.252,3.784
040213.cha,fra,York,CHI,4;02.13,.,.,.,.,Target_Child,.,.,209,1082,5.177,4.268
040220.cha,fra,York,CHI,4;02.20,.,.,.,.,Target_Child,.,.,260,1221,4.696,3.451
040307.cha,fra,York,CHI,4;03.07,.,.,.,.,Target_Child,.,.,304,1600,5.263,3.646
040321.cha,fra,York,CHI,4;03.21,.,.,.,.,Target_Child,.,.,319,1877,5.884,5.078
