File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020119.cha,fra,Leveille,CHI,2;01.19,.,.,.,.,Target_Child,.,.,401,1212,3.022,1.535
020126.cha,fra,Leveille,CHI,2;01.26,.,.,.,.,Target_Child,.,.,441,1387,3.145,1.81
020203.cha,fra,Leveille,CHI,2;02.03,.,.,.,.,Target_Child,.,.,466,1616,3.468,1.964
020210.cha,fra,Leveille,CHI,2;02.10,.,.,.,.,Target_Child,.,.,593,1994,3.363,1.712
020217.cha,fra,Leveille,CHI,2;02.17,.,.,.,.,Target_Child,.,.,292,853,2.921,1.839
020226.cha,fra,Leveille,CHI,2;02.26,.,.,.,.,Target_Child,.,.,453,1356,2.993,1.722
020300.cha,fra,Leveille,CHI,2;03.,.,.,.,.,Target_Child,.,.,340,1215,3.574,1.725
020307.cha,fra,Leveille,CHI,2;03.07,.,.,.,.,Target_Child,.,.,189,635,3.36,1.965
020314.cha,fra,Leveille,CHI,2;03.14,.,.,.,.,Target_Child,.,.,369,1169,3.168,1.815
020321.cha,fra,Leveille,CHI,2;03.21,.,.,.,.,Target_Child,.,.,394,1176,2.985,1.862
020613.cha,fra,Leveille,CHI,2;06.13,.,.,.,.,Target_Child,.,.,464,1671,3.601,2.398
020620.cha,fra,Leveille,CHI,2;06.20,.,.,.,.,Target_Child,.,.,459,1568,3.416,2.215
020627.cha,fra,Leveille,CHI,2;06.27,.,.,.,.,Target_Child,.,.,408,1539,3.772,2.162
020711.cha,fra,Leveille,CHI,2;07.11,.,.,.,.,Target_Child,.,.,301,1225,4.07,2.525
020718.cha,fra,Leveille,CHI,2;07.18,.,.,.,.,Target_Child,.,.,428,1361,3.18,2.148
020725.cha,fra,Leveille,CHI,2;07.25,.,.,.,.,Target_Child,.,.,478,1695,3.546,2.3
020801.cha,fra,Leveille,CHI,2;08.01,.,.,.,.,Target_Child,.,.,336,1142,3.399,2.338
020808.cha,fra,Leveille,CHI,2;08.08,.,.,.,.,Target_Child,.,.,302,1189,3.937,2.584
020815.cha,fra,Leveille,CHI,2;08.15,.,.,.,.,Target_Child,.,.,343,1140,3.324,2.57
020822.cha,fra,Leveille,CHI,2;08.22,.,.,.,.,Target_Child,.,.,469,1651,3.52,2.499
020829.cha,fra,Leveille,CHI,2;08.29,.,.,.,.,Target_Child,.,.,420,1453,3.46,2.532
020915.cha,fra,Leveille,CHI,2;09.15,.,.,.,.,Target_Child,.,.,281,1098,3.907,2.857
021003.cha,fra,Leveille,CHI,2;10.03,.,.,.,.,Target_Child,.,.,343,1002,2.921,2.261
021017.cha,fra,Leveille,CHI,2;10.17,.,.,.,.,Target_Child,.,.,383,1530,3.995,2.995
021100.cha,fra,Leveille,CHI,2;11.,.,.,.,.,Target_Child,.,.,436,1682,3.858,2.997
021107.cha,fra,Leveille,CHI,2;11.07,.,.,.,.,Target_Child,.,.,494,2325,4.706,3.954
021121.cha,fra,Leveille,CHI,2;11.21,.,.,.,.,Target_Child,.,.,402,1702,4.234,3.187
030006.cha,fra,Leveille,CHI,3;00.06,.,.,.,.,Target_Child,.,.,524,2235,4.265,3.052
030020.cha,fra,Leveille,CHI,3;00.20,.,.,.,.,Target_Child,.,.,433,1629,3.762,2.815
030203.cha,fra,Leveille,CHI,3;02.03,.,.,.,.,Target_Child,.,.,670,3546,5.293,3.321
030215.cha,fra,Leveille,CHI,3;02.15,.,.,.,.,Target_Child,.,.,469,2079,4.433,3.308
030229.cha,fra,Leveille,CHI,3;02.29,.,.,.,.,Target_Child,.,.,519,2541,4.896,3.414
030312.cha,fra,Leveille,CHI,3;03.12,.,.,.,.,Target_Child,.,.,434,1955,4.505,3.379
