File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010005.cha,fra,Paris,CHI,1;00.05,female,.,.,.,Target_Child,.,.,1,1,1,NA
010110.cha,fra,Paris,CHI,1;01.10,female,.,.,.,Target_Child,.,.,29,29,1,0
010214.cha,fra,Paris,CHI,1;02.14,female,.,.,.,Target_Child,.,.,14,15,1.071,0.258
010228.cha,fra,Paris,CHI,1;02.28,female,.,.,.,Target_Child,.,.,29,30,1.034,0.182
010318.cha,fra,Paris,CHI,1;01.17,female,.,.,.,Target_Child,.,.,9,9,1,0
010418.cha,fra,Paris,CHI,1;04.17,female,.,.,.,Target_Child,.,.,26,27,1.038,0.192
010604.cha,fra,Paris,CHI,1;06.04,female,.,.,.,Target_Child,.,.,216,252,1.167,0.518
010715.cha,fra,Paris,CHI,1;07.15,female,.,.,.,Target_Child,.,.,287,368,1.282,0.602
010903.cha,fra,Paris,CHI,1;09.03,female,.,.,.,Target_Child,.,.,385,634,1.647,0.993
011007.cha,fra,Paris,CHI,1;10.07,female,.,.,.,Target_Child,.,.,508,920,1.811,1.197
011113.cha,fra,Paris,CHI,1;11.13,female,.,.,.,Target_Child,.,.,266,645,2.425,1.503
020102.cha,fra,Paris,CHI,2;01.02,female,.,.,.,Target_Child,.,.,538,1442,2.68,1.686
020206.cha,fra,Paris,CHI,2;02.06,female,.,.,.,Target_Child,.,.,538,1703,3.165,2.213
020305.cha,fra,Paris,CHI,2;03.03,female,.,.,.,Target_Child,.,.,429,1348,3.142,2.248
020415.cha,fra,Paris,CHI,2;04.15,female,.,.,.,Target_Child,.,.,595,2080,3.496,2.531
020512.cha,fra,Paris,CHI,2;05.12,female,.,.,.,Target_Child,.,.,613,2372,3.869,2.74
020610.cha,fra,Paris,CHI,2;06.10,female,.,.,.,Target_Child,.,.,444,1358,3.059,2.504
020707.cha,fra,Paris,CHI,2;07.07,female,.,.,.,Target_Child,.,.,492,2380,4.837,3.221
020805.cha,fra,Paris,CHI,2;08.05,female,.,.,.,Target_Child,.,.,503,2162,4.298,3.338
020916.cha,fra,Paris,CHI,2;09.17,female,.,.,.,Target_Child,.,.,600,2606,4.343,2.993
021020.cha,fra,Paris,CHI,2;10.21,female,.,.,.,Target_Child,.,.,286,1415,4.948,3.714
021119.cha,fra,Paris,CHI,2;11.18,female,.,.,.,Target_Child,.,.,653,3091,4.734,3.883
030028.cha,fra,Paris,CHI,2;11.27,female,.,.,.,Target_Child,.,.,472,2270,4.809,3.309
030302.cha,fra,Paris,CHI,3;03.02,female,.,.,.,Target_Child,.,.,463,2219,4.793,3.883
030608.cha,fra,Paris,CHI,3;06.08,female,.,.,.,Target_Child,.,.,477,2405,5.042,4.045
030907.cha,fra,Paris,CHI,3;09.07,female,.,.,.,Target_Child,.,.,498,2383,4.785,3.305
030928.cha,fra,Paris,CHI,3;09.27,female,.,.,.,Target_Child,.,.,401,1878,4.683,4.177
040127.cha,fra,Paris,CHI,4;01.26,female,.,.,.,Target_Child,.,.,689,4038,5.861,3.595
040704.cha,fra,Paris,CHI,4;07.04,female,.,.,.,Target_Child,.,.,466,3487,7.483,4.553
041003.cha,fra,Paris,CHI,4;10.03,female,.,.,.,Target_Child,.,.,420,1870,4.452,3.296
050105.cha,fra,Paris,CHI,5;01.05,female,.,.,.,Target_Child,.,.,528,2564,4.856,4.991
050508.cha,fra,Paris,CHI,5;05.08,female,.,.,.,Target_Child,.,.,656,3290,5.015,4.134
051018.cha,fra,Paris,CHI,5;10.18,female,.,.,.,Target_Child,.,.,785,5643,7.189,4.722
060504.cha,fra,Paris,CHI,6;05.14,female,.,.,.,Target_Child,.,.,754,4554,6.04,4.027
061126.cha,fra,Paris,CHI,6;11.26,female,.,.,.,Target_Child,.,.,782,4913,6.283,4.879
