File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
10002.cha,fra,Lyon,CHI,1;00.02,female,.,.,.,Target_Child,.,.,296,785,2.652,2.487
10002a.cha,fra,Lyon,CHI,1;00.02,female,.,.,.,Target_Child,.,.,26,27,1.038,0.192
10002b.cha,fra,Lyon,CHI,1;00.02,female,.,.,.,Target_Child,.,.,21,21,1,0
10023a.cha,fra,Lyon,CHI,1;00.23,female,.,.,.,Target_Child,.,.,20,20,1,0
10023b.cha,fra,Lyon,CHI,1;00.23,female,.,.,.,Target_Child,.,.,3,4,1.333,0.471
10116a.cha,fra,Lyon,CHI,1;01.16,female,.,.,.,Target_Child,.,.,51,51,1,0
10116b.cha,fra,Lyon,CHI,1;01.16,female,.,.,.,Target_Child,.,.,80,90,1.125,0.913
10128a.cha,fra,Lyon,CHI,1;01.28,female,.,.,.,Target_Child,.,.,24,28,1.167,0.624
10128b.cha,fra,Lyon,CHI,1;01.28,female,.,.,.,Target_Child,.,.,32,56,1.75,1.887
10211a.cha,fra,Lyon,CHI,1;02.11,female,.,.,.,Target_Child,.,.,27,27,1,0
10211b.cha,fra,Lyon,CHI,1;02.11,female,.,.,.,Target_Child,.,.,17,17,1,0
10227a.cha,fra,Lyon,CHI,1;02.27,female,.,.,.,Target_Child,.,.,24,31,1.292,0.455
10227b.cha,fra,Lyon,CHI,1;02.27,female,.,.,.,Target_Child,.,.,10,17,1.7,1.005
10510a.cha,fra,Lyon,CHI,1;05.10,female,.,.,.,Target_Child,.,.,12,12,1,0
10510b.cha,fra,Lyon,CHI,1;05.10,female,.,.,.,Target_Child,.,.,51,61,1.196,0.525
10524a.cha,fra,Lyon,CHI,1;05.24,female,.,.,.,Target_Child,.,.,80,128,1.6,0.943
10524b.cha,fra,Lyon,CHI,1;05.24,female,.,.,.,Target_Child,.,.,56,67,1.196,0.479
10610a.cha,fra,Lyon,CHI,1;06.10,female,.,.,.,Target_Child,.,.,29,40,1.379,0.552
10610b.cha,fra,Lyon,CHI,1;06.10,female,.,.,.,Target_Child,.,.,53,54,1.019,0.136
10622a.cha,fra,Lyon,CHI,1;06.22,female,.,.,.,Target_Child,.,.,77,107,1.39,0.627
10622b.cha,fra,Lyon,CHI,1;06.22,female,.,.,.,Target_Child,.,.,67,79,1.179,0.486
10712a.cha,fra,Lyon,CHI,1;07.12,female,.,.,.,Target_Child,.,.,45,71,1.578,0.906
10712b.cha,fra,Lyon,CHI,1;07.12,female,.,.,.,Target_Child,.,.,92,153,1.663,1.116
10726b.cha,fra,Lyon,CHI,1;07.26,female,.,.,.,Target_Child,.,.,49,66,1.347,0.716
10819a.cha,fra,Lyon,CHI,1;08.19,female,.,.,.,Target_Child,.,.,85,152,1.788,0.971
10819b.cha,fra,Lyon,CHI,1;08.19,female,.,.,.,Target_Child,.,.,77,154,2,2.045
10909a.cha,fra,Lyon,CHI,1;09.09,female,.,.,.,Target_Child,.,.,77,122,1.584,1.061
10909b.cha,fra,Lyon,CHI,1;09.09,female,.,.,.,Target_Child,.,.,78,89,1.141,0.445
11000a.cha,fra,Lyon,CHI,1;10.,female,.,.,.,Target_Child,.,.,185,318,1.719,0.797
11000b.cha,fra,Lyon,CHI,1;10.,female,.,.,.,Target_Child,.,.,179,291,1.626,0.805
11011a.cha,fra,Lyon,CHI,1;10.11,female,.,.,.,Target_Child,.,.,150,262,1.747,1.04
11011b.cha,fra,Lyon,CHI,1;10.11,female,.,.,.,Target_Child,.,.,179,282,1.575,0.858
11023a.cha,fra,Lyon,CHI,1;10.23,female,.,.,.,Target_Child,.,.,209,408,1.952,1.651
11023b.cha,fra,Lyon,CHI,1;10.23,female,.,.,.,Target_Child,.,.,190,387,2.037,1.652
11111a.cha,fra,Lyon,CHI,1;11.11,female,.,.,.,Target_Child,.,.,190,365,1.921,1.151
11111b.cha,fra,Lyon,CHI,1;11.11,female,.,.,.,Target_Child,.,.,84,168,2,1.035
11125a.cha,fra,Lyon,CHI,1;11.25,female,.,.,.,Target_Child,.,.,233,380,1.631,0.927
11125b.cha,fra,Lyon,CHI,1;11.25,female,.,.,.,Target_Child,.,.,157,299,1.904,1.172
20008a.cha,fra,Lyon,CHI,2;00.08,female,.,.,.,Target_Child,.,.,218,394,1.807,1.062
20008b.cha,fra,Lyon,CHI,2;00.08,female,.,.,.,Target_Child,.,.,154,274,1.779,1.218
20028a.cha,fra,Lyon,CHI,2;00.28,female,.,.,.,Target_Child,.,.,135,272,2.015,1.288
20028b.cha,fra,Lyon,CHI,2;00.28,female,.,.,.,Target_Child,.,.,150,361,2.407,1.558
20113a.cha,fra,Lyon,CHI,2;01.13,female,.,.,.,Target_Child,.,.,233,511,2.193,1.427
