File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
10613a.cha,fra,Lyon,CHI,1;06.13,female,.,.,.,Target_Child,.,.,37,51,1.378,0.711
10703b.cha,fra,Lyon,CHI,1;07.13,female,.,.,.,Target_Child,.,.,70,112,1.6,1.224
10713a.cha,fra,Lyon,CHI,1;07.13,female,.,.,.,Target_Child,.,.,66,80,1.212,0.508
10723a.cha,fra,Lyon,CHI,1;07.23,female,.,.,.,Target_Child,.,.,48,55,1.146,0.408
10723b.cha,fra,Lyon,CHI,1;07.23,female,.,.,.,Target_Child,.,.,39,49,1.256,0.587
10815a.cha,fra,Lyon,CHI,1;08.15,female,.,.,.,Target_Child,.,.,153,195,1.275,0.93
10815b.cha,fra,Lyon,CHI,1;08.15,female,.,.,.,Target_Child,.,.,90,106,1.178,0.588
10829a.cha,fra,Lyon,CHI,1;08.29,female,.,.,.,Target_Child,.,.,164,199,1.213,0.527
10829b.cha,fra,Lyon,CHI,1;08.29,female,.,.,.,Target_Child,.,.,190,232,1.221,0.565
10912a.cha,fra,Lyon,CHI,1;09.12,female,.,.,.,Target_Child,.,.,147,179,1.218,0.515
10912b.cha,fra,Lyon,CHI,1;09.12,female,.,.,.,Target_Child,.,.,120,141,1.175,0.459
11017a.cha,fra,Lyon,CHI,1;10.17,female,.,.,.,Target_Child,.,.,233,293,1.258,0.65
11017b.cha,fra,Lyon,CHI,1;10.17,female,.,.,.,Target_Child,.,.,189,245,1.296,0.703
11102a.cha,fra,Lyon,CHI,1;11.02,female,.,.,.,Target_Child,.,.,214,338,1.579,1.064
11102b.cha,fra,Lyon,CHI,1;11.02,female,.,.,.,Target_Child,.,.,151,198,1.311,0.765
11113a.cha,fra,Lyon,CHI,1;11.13,female,.,.,.,Target_Child,.,.,280,379,1.354,0.765
11113b.cha,fra,Lyon,CHI,1;11.13,female,.,.,.,Target_Child,.,.,301,407,1.352,0.684
11118a.cha,fra,Lyon,CHI,1;11.18,female,.,.,.,Target_Child,.,.,172,267,1.552,1.743
11118b.cha,fra,Lyon,CHI,1;11.18,female,.,.,.,Target_Child,.,.,161,231,1.435,0.911
20012a.cha,fra,Lyon,CHI,2;00.12,female,.,.,.,Target_Child,.,.,247,322,1.304,0.686
20012b.cha,fra,Lyon,CHI,2;00.12,female,.,.,.,Target_Child,.,.,144,214,1.486,0.833
20025a.cha,fra,Lyon,CHI,2;00.25,female,.,.,.,Target_Child,.,.,241,338,1.402,0.624
20025b.cha,fra,Lyon,CHI,2;00.25,female,.,.,.,Target_Child,.,.,252,381,1.512,0.961
20117a.cha,fra,Lyon,CHI,2;01.17,female,.,.,.,Target_Child,.,.,202,305,1.51,0.753
20117b.cha,fra,Lyon,CHI,2;01.17,female,.,.,.,Target_Child,.,.,210,322,1.533,0.857
20201a.cha,fra,Lyon,CHI,2;02.01,female,.,.,.,Target_Child,.,.,225,342,1.52,0.919
20201b.cha,fra,Lyon,CHI,2;02.01,female,.,.,.,Target_Child,.,.,249,381,1.53,0.923
20215a.cha,fra,Lyon,CHI,2;02.15,female,.,.,.,Target_Child,.,.,318,466,1.465,0.791
20215b.cha,fra,Lyon,CHI,2;02.15,female,.,.,.,Target_Child,.,.,318,561,1.764,1.033
20229a.cha,fra,Lyon,CHI,2;02.29,female,.,.,.,Target_Child,.,.,217,303,1.396,0.614
20229b.cha,fra,Lyon,CHI,2;02.29,female,.,.,.,Target_Child,.,.,265,457,1.725,0.901
20312a.cha,fra,Lyon,CHI,2;03.12,female,.,.,.,Target_Child,.,.,360,510,1.417,0.829
20312b.cha,fra,Lyon,CHI,2;03.12,female,.,.,.,Target_Child,.,.,224,332,1.482,0.901
20326a.cha,fra,Lyon,CHI,2;03.26,female,.,.,.,Target_Child,.,.,365,570,1.562,0.814
20326b.cha,fra,Lyon,CHI,2;03.26,female,.,.,.,Target_Child,.,.,277,450,1.625,0.813
20409a.cha,fra,Lyon,CHI,2;04.09,female,.,.,.,Target_Child,.,.,414,696,1.681,0.914
20409b.cha,fra,Lyon,CHI,2;04.09,female,.,.,.,Target_Child,.,.,372,621,1.669,0.893
20501a.cha,fra,Lyon,CHI,2;05.01,female,.,.,.,Target_Child,.,.,432,705,1.632,1.195
20501b.cha,fra,Lyon,CHI,2;05.01,female,.,.,.,Target_Child,.,.,331,553,1.671,1.076
20529a.cha,fra,Lyon,CHI,2;05.29,female,.,.,.,Target_Child,.,.,378,852,2.254,1.487
20529b.cha,fra,Lyon,CHI,2;05.29,female,.,.,.,Target_Child,.,.,305,686,2.249,1.707
20619a.cha,fra,Lyon,CHI,2;06.19,female,.,.,.,Target_Child,.,.,628,1085,1.728,1.07
20619b.cha,fra,Lyon,CHI,2;06.19,female,.,.,.,Target_Child,.,.,601,1086,1.807,1.182
20710a.cha,fra,Lyon,CHI,2;07.10,female,.,.,.,Target_Child,.,.,393,780,1.985,1.252
20710b.cha,fra,Lyon,CHI,2;07.10,female,.,.,.,Target_Child,.,.,282,579,2.053,1.379
20721a.cha,fra,Lyon,CHI,2;07.21,female,.,.,.,Target_Child,.,.,290,570,1.966,1.374
20721b.cha,fra,Lyon,CHI,2;07.21,female,.,.,.,Target_Child,.,.,333,687,2.063,1.392
20804a.cha,fra,Lyon,CHI,2;08.04,female,.,.,.,Target_Child,.,.,298,599,2.01,1.401
20804b.cha,fra,Lyon,CHI,2;08.04,female,.,.,.,Target_Child,.,.,140,340,2.429,1.749
20900a.cha,fra,Lyon,CHI,2;09.00,female,.,.,.,Target_Child,.,.,221,616,2.787,1.814
20900b.cha,fra,Lyon,CHI,2;09.00,female,.,.,.,Target_Child,.,.,204,458,2.245,1.587
20918a.cha,fra,Lyon,CHI,2;09.18,female,.,.,.,Target_Child,.,.,252,632,2.508,1.816
20918b.cha,fra,Lyon,CHI,2;09.18,female,.,.,.,Target_Child,.,.,300,676,2.253,1.573
21003a.cha,fra,Lyon,CHI,2;10.03,female,.,.,.,Target_Child,.,.,383,986,2.574,1.713
21003b.cha,fra,Lyon,CHI,2;10.03,female,.,.,.,Target_Child,.,.,280,759,2.711,2.236
21020a.cha,fra,Lyon,CHI,2;10.20,female,.,.,.,Target_Child,.,.,333,721,2.165,1.544
21020b.cha,fra,Lyon,CHI,2;10.20,female,.,.,.,Target_Child,.,.,236,548,2.322,1.751
21114a.cha,fra,Lyon,CHI,2;11.14,female,.,.,.,Target_Child,.,.,250,569,2.276,1.467
21114b.cha,fra,Lyon,CHI,2;11.14,female,.,.,.,Target_Child,.,.,489,1239,2.534,2.009
