File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010919.cha,"fra , eng",York,CHI,1;09.19,.,.,.,.,Target_Child,.,.,104,116,1.115,0.319
011003.cha,fra,York,CHI,1;10.03,.,.,.,.,Target_Child,.,.,93,96,1.032,0.177
011017.cha,"fra , eng",York,CHI,1;10.17,.,.,.,.,Target_Child,.,.,180,221,1.228,0.721
011101.cha,"fra , eng",York,CHI,1;11.01,.,.,.,.,Target_Child,.,.,233,327,1.403,0.687
020000.cha,"fra , eng",York,CHI,2;00.,.,.,.,.,Target_Child,.,.,124,162,1.306,0.611
020014.cha,fra,York,CHI,2;00.14,.,.,.,.,Target_Child,.,.,160,262,1.638,0.918
020028.cha,"fra , eng",York,CHI,2;00.28,.,.,.,.,Target_Child,.,.,196,325,1.658,0.99
020116.cha,"fra , eng",York,CHI,2;01.16,.,.,.,.,Target_Child,.,.,203,377,1.857,1.303
020125.cha,fra,York,CHI,2;01.25,.,.,.,.,Target_Child,.,.,216,473,2.19,1.685
020209.cha,fra,York,CHI,2;02.09,.,.,.,.,Target_Child,.,.,175,416,2.377,1.95
020222.cha,fra,York,CHI,2;02.22,.,.,.,.,Target_Child,.,.,185,404,2.184,1.708
020306.cha,"fra , eng",York,CHI,2;03.06,.,.,.,.,Target_Child,.,.,194,449,2.314,1.83
020320.cha,fra,York,CHI,2;03.20,.,.,.,.,Target_Child,.,.,183,388,2.12,1.698
020404.cha,fra,York,CHI,2;04.04,.,.,.,.,Target_Child,.,.,149,414,2.779,2.351
020418.cha,fra,York,CHI,2;04.18,.,.,.,.,Target_Child,.,.,176,504,2.864,2.436
020501.cha,"fra , eng",York,CHI,2;05.01,.,.,.,.,Target_Child,.,.,176,572,3.25,2.771
020515.cha,"fra , eng",York,CHI,2;05.15,.,.,.,.,Target_Child,.,.,169,521,3.083,2.465
020529.cha,"fra , eng",York,CHI,2;05.29,.,.,.,.,Target_Child,.,.,209,686,3.282,2.709
020612.cha,"fra , eng",York,CHI,2;06.12,.,.,.,.,Target_Child,.,.,237,816,3.443,2.672
020627.cha,fra,York,CHI,2;06.27,.,.,.,.,Target_Child,.,.,248,721,2.907,2.397
020711.cha,"fra , eng",York,CHI,2;07.11,.,.,.,.,Target_Child,.,.,118,323,2.737,2.105
020725.cha,fra,York,CHI,2;07.25,.,.,.,.,Target_Child,.,.,197,476,2.416,2.067
020809.cha,fra,York,CHI,2;08.09,.,.,.,.,Target_Child,.,.,201,541,2.692,2.428
020822.cha,"fra , eng",York,CHI,2;08.22,.,.,.,.,Target_Child,.,.,214,596,2.785,2.284
020912.cha,"fra , eng",York,CHI,2;09.12,.,.,.,.,Target_Child,.,.,170,538,3.165,2.429
020927.cha,fra,York,CHI,2;09.27,.,.,.,.,Target_Child,.,.,195,550,2.821,2.054
021010.cha,fra,York,CHI,2;10.10,.,.,.,.,Target_Child,.,.,233,756,3.245,2.306
021024.cha,fra,York,CHI,2;10.24,.,.,.,.,Target_Child,.,.,231,767,3.32,2.591
021107.cha,fra,York,CHI,2;11.07,.,.,.,.,Target_Child,.,.,223,829,3.717,2.924
021124.cha,fra,York,CHI,2;11.24,.,.,.,.,Target_Child,.,.,125,414,3.312,2.474
030014.cha,fra,York,CHI,3;00.14,.,.,.,.,Target_Child,.,.,215,557,2.591,2.041
030100.cha,fra,York,CHI,3;01.,.,.,.,.,Target_Child,.,.,237,898,3.789,2.7
030114.cha,fra,York,CHI,3;01.14,.,.,.,.,Target_Child,.,.,265,823,3.106,2.614
030125.cha,fra,York,CHI,3;01.25,.,.,.,.,Target_Child,.,.,286,1029,3.598,3.224
030209.cha,fra,York,CHI,3;02.09,.,.,.,.,Target_Child,.,.,270,1099,4.07,3.486
030223.cha,"fra , eng",York,CHI,3;02.23,.,.,.,.,Target_Child,.,.,200,625,3.125,2.389
