File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
10012a.cha,fra,Lyon,CHI,1;00.12,male,.,.,.,Target_Child,.,.,23,28,1.217,0.587
10012b.cha,fra,Lyon,CHI,1;00.12,male,.,.,.,Target_Child,.,.,38,55,1.447,0.849
10024a.cha,fra,Lyon,CHI,1;00.24,male,.,.,.,Target_Child,.,.,16,17,1.063,0.242
10024b.cha,fra,Lyon,CHI,1;00.24,male,.,.,.,Target_Child,.,.,16,16,1,0
10024c.cha,fra,Lyon,CHI,1;00.24,male,.,.,.,Target_Child,.,.,15,15,1,0
10024d.cha,fra,Lyon,CHI,1;00.24,male,.,.,.,Target_Child,.,.,7,8,1.143,0.35
10124a.cha,fra,Lyon,CHI,1;01.24,male,.,.,.,Target_Child,.,.,2,2,1,0
10124b.cha,fra,Lyon,CHI,1;01.24,male,.,.,.,Target_Child,.,.,2,2,1,0
10214a.cha,fra,Lyon,CHI,1;02.14,male,.,.,.,Target_Child,.,.,11,11,1,0
10214b.cha,fra,Lyon,CHI,1;02.14,male,.,.,.,Target_Child,.,.,2,2,1,0
10226a.cha,fra,Lyon,CHI,1;02.26,female,.,.,.,Target_Child,.,.,10,10,1,0
10226b.cha,fra,Lyon,CHI,1;02.26,female,.,.,.,Target_Child,.,.,8,8,1,0
10323a.cha,fra,Lyon,CHI,1;03.23,male,.,.,.,Target_Child,.,.,19,25,1.316,0.729
10323b.cha,fra,Lyon,CHI,1;03.23,male,.,.,.,Target_Child,.,.,40,60,1.5,0.894
10409a.cha,fra,Lyon,CHI,1;04.09,male,.,.,.,Target_Child,.,.,30,45,1.5,2.349
10409b.cha,fra,Lyon,CHI,1;04.09,male,.,.,.,Target_Child,.,.,13,13,1,0
10423a.cha,fra,Lyon,CHI,1;04.23,male,.,.,.,Target_Child,.,.,11,13,1.182,0.386
10423b.cha,fra,Lyon,CHI,1;04.23,male,.,.,.,Target_Child,.,.,18,18,1,0
10508a.cha,fra,Lyon,CHI,1;05.08,male,.,.,.,Target_Child,.,.,44,44,1,0
10508b.cha,fra,Lyon,CHI,1;05.08,male,.,.,.,Target_Child,.,.,6,6,1,0
10512a.cha,fra,Lyon,CHI,1;05.12,male,.,.,.,Target_Child,.,.,16,18,1.125,0.331
10512b.cha,fra,Lyon,CHI,1;05.12,male,.,.,.,Target_Child,.,.,3,3,1,0
10605a.cha,fra,Lyon,CHI,1;06.05,male,.,.,.,Target_Child,.,.,26,26,1,0
10605b.cha,fra,Lyon,CHI,1;06.05,male,.,.,.,Target_Child,.,.,6,6,1,0
10625a.cha,fra,Lyon,CHI,1;06.25,male,.,.,.,Target_Child,.,.,17,17,1,0
10625b.cha,fra,Lyon,CHI,1;06.25,male,.,.,.,Target_Child,.,.,9,9,1,0
10708a.cha,fra,Lyon,CHI,1;07.08,male,.,.,.,Target_Child,.,.,8,15,1.875,1.053
10708b.cha,fra,Lyon,CHI,1;07.08,male,.,.,.,Target_Child,.,.,3,3,1,0
10722a.cha,fra,Lyon,CHI,1;07.22,male,.,.,.,Target_Child,.,.,62,76,1.226,0.521
10722b.cha,fra,Lyon,CHI,1;07.22,male,.,.,.,Target_Child,.,.,29,29,1,0
10816a.cha,fra,Lyon,CHI,1;08.16,male,.,.,.,Target_Child,.,.,100,103,1.03,0.171
10816b.cha,fra,Lyon,CHI,1;08.16,male,.,.,.,Target_Child,.,.,50,52,1.04,0.196
10903a.cha,fra,Lyon,CHI,1;09.03,male,.,.,.,Target_Child,.,.,44,45,1.023,0.149
10903b.cha,fra,Lyon,CHI,1;09.03,male,.,.,.,Target_Child,.,.,31,34,1.097,0.39
11019a.cha,fra,Lyon,CHI,1;10.19,male,.,.,.,Target_Child,.,.,41,46,1.122,0.395
11019b.cha,fra,Lyon,CHI,1;10.19,male,.,.,.,Target_Child,.,.,31,33,1.065,0.246
11103a.cha,fra,Lyon,CHI,1;11.03,male,.,.,.,Target_Child,.,.,129,146,1.132,0.381
11103b.cha,fra,Lyon,CHI,1;11.03,male,.,.,.,Target_Child,.,.,104,128,1.231,0.639
11119a.cha,fra,Lyon,CHI,1;11.19,male,.,.,.,Target_Child,.,.,66,75,1.136,0.385
11119b.cha,fra,Lyon,CHI,1;11.19,male,.,.,.,Target_Child,.,.,40,51,1.275,0.67
20015a.cha,fra,Lyon,CHI,2;00.15,male,.,.,.,Target_Child,.,.,85,119,1.4,0.654
20015b.cha,fra,Lyon,CHI,2;00.15,male,.,.,.,Target_Child,.,.,52,70,1.346,0.757
20016a.cha,fra,Lyon,CHI,2;00.16,male,.,.,.,Target_Child,.,.,115,148,1.287,0.615
20016b.cha,"fra, eng",Lyon,CHI,2;00.16,male,.,.,.,Target_Child,.,.,57,84,1.474,0.533
20210a.cha,fra,Lyon,CHI,2;02.10,male,.,.,.,Target_Child,.,.,166,183,1.102,0.322
20210b.cha,fra,Lyon,CHI,2;02.10,male,.,.,.,Target_Child,.,.,175,209,1.194,0.531
20223a.cha,fra,Lyon,CHI,2;02.23,male,.,.,.,Target_Child,.,.,204,283,1.387,0.695
20223b.cha,fra,Lyon,CHI,2;02.23,male,.,.,.,Target_Child,.,.,138,190,1.377,0.734
20306a.cha,fra,Lyon,CHI,2;03.06,male,.,.,.,Target_Child,.,.,156,179,1.147,0.436
20306b.cha,fra,Lyon,CHI,2;03.06,male,.,.,.,Target_Child,.,.,33,38,1.152,0.435
20412a.cha,fra,Lyon,CHI,2;04.12,male,.,.,.,Target_Child,.,.,85,137,1.612,0.798
20412b.cha,fra,Lyon,CHI,2;04.12,male,.,.,.,Target_Child,.,.,74,110,1.486,0.962
20426a.cha,fra,Lyon,CHI,2;04.26,male,.,.,.,Target_Child,.,.,66,93,1.409,0.834
20426b.cha,fra,Lyon,CHI,2;04.26,male,.,.,.,Target_Child,.,.,63,85,1.349,0.646
20507a.cha,fra,Lyon,CHI,2;05.07,male,.,.,.,Target_Child,.,.,148,209,1.412,0.854
20507b.cha,fra,Lyon,CHI,2;05.07,male,.,.,.,Target_Child,.,.,64,87,1.359,1.006
20518a.cha,fra,Lyon,CHI,2;05.18,male,.,.,.,Target_Child,.,.,71,98,1.38,0.794
20518b.cha,fra,Lyon,CHI,2;05.18,male,.,.,.,Target_Child,.,.,89,100,1.124,0.329
