File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
01117a.cha,fra,Lyon,CHI,0;11.17,male,.,.,.,Target_Child,.,.,4,4,1,0
01117b.cha,fra,Lyon,CHI,0;11.17,male,.,.,.,Target_Child,.,.,11,11,1,0
10014a.cha,fra,Lyon,CHI,1;00.14,male,.,.,.,Target_Child,.,.,10,11,1.1,0.3
10014b.cha,fra,Lyon,CHI,1;00.14,male,.,.,.,Target_Child,.,.,3,5,1.667,0.471
10026a.cha,fra,Lyon,CHI,1;00.26,male,.,.,.,Target_Child,.,.,39,52,1.333,0.692
10026b.cha,fra,Lyon,CHI,1;00.26,male,.,.,.,Target_Child,.,.,58,68,1.172,0.421
10110a.cha,fra,Lyon,CHI,1;01.10,male,.,.,.,Target_Child,.,.,8,8,1,0
10110b.cha,fra,Lyon,CHI,1;01.10,male,.,.,.,Target_Child,.,.,3,4,1.333,0.471
10124a.cha,fra,Lyon,CHI,1;01.24,male,.,.,.,Target_Child,.,.,6,6,1,0
10124b.cha,fra,Lyon,CHI,1;01.24,male,.,.,.,Target_Child,.,.,3,6,2,1.414
10208a.cha,fra,Lyon,CHI,1;02.08,male,.,.,.,Target_Child,.,.,13,15,1.154,0.533
10208b.cha,fra,Lyon,CHI,1;02.08,male,.,.,.,Target_Child,.,.,7,7,1,0
10323a.cha,fra,Lyon,CHI,1;03.23,male,.,.,.,Target_Child,.,.,88,131,1.489,0.892
10323b.cha,fra,Lyon,CHI,1;03.23,male,.,.,.,Target_Child,.,.,48,64,1.333,0.514
10407a.cha,fra,Lyon,CHI,1;04.07,male,.,.,.,Target_Child,.,.,72,109,1.514,0.897
10407b.cha,fra,Lyon,CHI,1;04.07,male,.,.,.,Target_Child,.,.,75,102,1.36,0.794
10421a.cha,fra,Lyon,CHI,1;04.21,male,.,.,.,Target_Child,.,.,60,76,1.267,0.727
10421b.cha,fra,Lyon,CHI,1;04.21,male,.,.,.,Target_Child,.,.,50,55,1.1,0.3
10505a.cha,fra,Lyon,CHI,1;05.05,male,.,.,.,Target_Child,.,.,78,101,1.295,0.534
10505b.cha,fra,Lyon,CHI,1;05.05,male,.,.,.,Target_Child,.,.,91,121,1.33,0.742
10525a.cha,fra,Lyon,CHI,1;05.25,male,.,.,.,Target_Child,.,.,89,113,1.27,0.576
10525b.cha,fra,Lyon,CHI,1;05.25,male,.,.,.,Target_Child,.,.,140,188,1.343,0.595
10609a.cha,fra,Lyon,CHI,1;06.09,male,.,.,.,Target_Child,.,.,83,98,1.181,0.494
10609b.cha,fra,Lyon,CHI,1;06.09,male,.,.,.,Target_Child,.,.,99,117,1.182,0.52
10623a.cha,fra,Lyon,CHI,1;06.23,male,.,.,.,Target_Child,.,.,77,97,1.26,0.612
10623b.cha,fra,Lyon,CHI,1;06.23,male,.,.,.,Target_Child,.,.,94,119,1.266,0.587
10708a.cha,fra,Lyon,CHI,1;07.08,male,.,.,.,Target_Child,.,.,84,100,1.19,0.475
10708b.cha,fra,Lyon,CHI,1;07.08,male,.,.,.,Target_Child,.,.,108,128,1.185,0.454
10727a.cha,fra,Lyon,CHI,1;07.27,male,.,.,.,Target_Child,.,.,116,152,1.31,0.724
10727b.cha,fra,Lyon,CHI,1;07.27,male,.,.,.,Target_Child,.,.,163,209,1.282,0.537
10811a.cha,fra,Lyon,CHI,1;08.11,male,.,.,.,Target_Child,.,.,116,163,1.405,0.798
10811b.cha,fra,Lyon,CHI,1;08.11,male,.,.,.,Target_Child,.,.,236,334,1.415,0.74
10901a.cha,fra,Lyon,CHI,1;09.01,male,.,.,.,Target_Child,.,.,366,600,1.639,1.131
10912a.cha,fra,Lyon,CHI,1;09.12,male,.,.,.,Target_Child,.,.,159,227,1.428,0.82
10912b.cha,fra,Lyon,CHI,1;09.12,male,.,.,.,Target_Child,.,.,177,221,1.249,0.642
11004a.cha,fra,Lyon,CHI,1;10.04,male,.,.,.,Target_Child,.,.,232,364,1.569,0.779
11004b.cha,fra,Lyon,CHI,1;10.04,male,.,.,.,Target_Child,.,.,246,372,1.512,0.714
11014a.cha,fra,Lyon,CHI,1;10.14,male,.,.,.,Target_Child,.,.,194,353,1.82,1.109
11014b.cha,fra,Lyon,CHI,1;10.14,male,.,.,.,Target_Child,.,.,250,481,1.924,1.408
11019a.cha,fra,Lyon,CHI,1;10.19,male,.,.,.,Target_Child,.,.,288,463,1.608,0.867
11102a.cha,fra,Lyon,CHI,1;11.02,male,.,.,.,Target_Child,.,.,346,608,1.757,1.251
11128a.cha,fra,Lyon,CHI,1;11.28,male,.,.,.,Target_Child,.,.,326,586,1.798,1.227
20027a.cha,fra,Lyon,CHI,2;00.27,male,.,.,.,Target_Child,.,.,234,372,1.59,0.912
20027b.cha,fra,Lyon,CHI,2;00.27,male,.,.,.,Target_Child,.,.,215,381,1.772,1.308
20111a.cha,fra,Lyon,CHI,2;01.11,male,.,.,.,Target_Child,.,.,255,523,2.051,1.253
20111b.cha,fra,Lyon,CHI,2;01.11,male,.,.,.,Target_Child,.,.,256,515,2.012,1.137
20309a.cha,fra,Lyon,CHI,2;03.09,male,.,.,.,Target_Child,.,.,242,522,2.157,1.295
20309b.cha,fra,Lyon,CHI,2;03.09,male,.,.,.,Target_Child,.,.,221,395,1.787,1.171
20324a.cha,fra,Lyon,CHI,2;03.24,male,.,.,.,Target_Child,.,.,170,473,2.782,1.636
20324b.cha,fra,Lyon,CHI,2;03.24,male,.,.,.,Target_Child,.,.,216,537,2.486,1.518
20408a.cha,fra,Lyon,CHI,2;04.08,male,.,.,.,Target_Child,.,.,224,540,2.411,1.539
20408b.cha,fra,Lyon,CHI,2;04.08,male,.,.,.,Target_Child,.,.,230,598,2.6,1.54
20422a.cha,fra,Lyon,CHI,2;04.22,male,.,.,.,Target_Child,.,.,234,568,2.427,2.001
20422b.cha,fra,Lyon,CHI,2;04.22,male,.,.,.,Target_Child,.,.,225,532,2.364,1.561
20506a.cha,fra,Lyon,CHI,2;05.06,male,.,.,.,Target_Child,.,.,199,492,2.472,1.597
20506b.cha,fra,Lyon,CHI,2;05.06,male,.,.,.,Target_Child,.,.,241,591,2.452,1.742
20520a.cha,fra,Lyon,CHI,2;05.20,male,.,.,.,Target_Child,.,.,169,334,1.976,1.337
20520b.cha,fra,Lyon,CHI,2;05.20,male,.,.,.,Target_Child,.,.,173,350,2.023,1.393
20603a.cha,fra,Lyon,CHI,2;06.03,male,.,.,.,Target_Child,.,.,178,428,2.404,1.62
20603b.cha,fra,Lyon,CHI,2;06.03,male,.,.,.,Target_Child,.,.,179,418,2.335,1.828
20617a.cha,fra,Lyon,CHI,2;06.17,male,.,.,.,Target_Child,.,.,172,433,2.517,1.568
20617b.cha,fra,Lyon,CHI,2;06.17,male,.,.,.,Target_Child,.,.,178,471,2.646,1.806
20703a.cha,fra,Lyon,CHI,2;07.03,male,.,.,.,Target_Child,.,.,247,672,2.721,2.052
20703b.cha,fra,Lyon,CHI,2;07.03,male,.,.,.,Target_Child,.,.,235,734,3.123,1.91
20728a.cha,fra,Lyon,CHI,2;07.28,male,.,.,.,Target_Child,.,.,239,823,3.444,2.206
20728b.cha,fra,Lyon,CHI,2;07.28,male,.,.,.,Target_Child,.,.,179,636,3.553,2.506
20812a.cha,fra,Lyon,CHI,2;08.12,male,.,.,.,Target_Child,.,.,151,802,5.311,4.833
20812b.cha,fra,Lyon,CHI,2;08.12,male,.,.,.,Target_Child,.,.,239,741,3.1,1.883
20825a.cha,fra,Lyon,CHI,2;08.25,male,.,.,.,Target_Child,.,.,232,803,3.461,2.345
20825b.cha,fra,Lyon,CHI,2;08.25,male,.,.,.,Target_Child,.,.,292,1047,3.586,2.276
20916a.cha,fra,Lyon,CHI,2;09.16,male,.,.,.,Target_Child,.,.,257,831,3.233,2.012
20916b.cha,fra,Lyon,CHI,2;09.16,male,.,.,.,Target_Child,.,.,282,733,2.599,1.77
21001a.cha,fra,Lyon,CHI,2;10.01,male,.,.,.,Target_Child,.,.,150,570,3.8,2.776
21001b.cha,fra,Lyon,CHI,2;10.01,male,.,.,.,Target_Child,.,.,205,698,3.405,2.894
21012a.cha,fra,Lyon,CHI,2;10.12,male,.,.,.,Target_Child,.,.,248,921,3.714,2.869
21012b.cha,fra,Lyon,CHI,2;10.12,male,.,.,.,Target_Child,.,.,234,737,3.15,2.251
21015a.cha,fra,Lyon,CHI,2;10.15,male,.,.,.,Target_Child,.,.,250,825,3.3,2.219
21015b.cha,fra,Lyon,CHI,2;10.15,male,.,.,.,Target_Child,.,.,220,777,3.532,2.369
30003a.cha,fra,Lyon,CHI,3;00.03,male,.,.,.,Target_Child,.,.,205,637,3.107,2.59
30003b.cha,fra,Lyon,CHI,3;00.03,male,.,.,.,Target_Child,.,.,198,547,2.763,2.027
