File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010600a.cha,eng,Brown,CHI,1;06.00,female,.,.,.,Target_Child,.,.,653,1001,1.533,0.747
010600b.cha,eng,Brown,CHI,1;06.00,female,.,.,.,Target_Child,.,.,399,653,1.637,1.002
010700a.cha,eng,Brown,CHI,1;07.00,female,.,.,.,Target_Child,.,.,223,438,1.964,1.015
010700b.cha,eng,Brown,CHI,1;07.00,female,.,.,.,Target_Child,.,.,525,909,1.731,0.979
010800.cha,eng,Brown,CHI,1;08.00,female,.,.,.,Target_Child,.,.,620,1250,2.016,1.076
010900a.cha,eng,Brown,CHI,1;09.00,female,.,.,.,Target_Child,.,.,483,1129,2.337,1.344
010900b.cha,eng,Brown,CHI,1;09.00,female,.,.,.,Target_Child,.,.,438,1041,2.377,1.223
010900c.cha,eng,Brown,CHI,1;09.00,female,.,.,.,Target_Child,.,.,852,2208,2.592,1.474
011000a.cha,eng,Brown,CHI,1;10.00,female,.,.,.,Target_Child,.,.,478,1398,2.925,1.567
011000b.cha,eng,Brown,CHI,1;10.00,female,.,.,.,Target_Child,.,.,506,1494,2.953,1.538
011100a.cha,eng,Brown,CHI,1;11.00,female,.,.,.,Target_Child,.,.,419,1236,2.95,1.601
011100b.cha,eng,Brown,CHI,1;11.00,female,.,.,.,Target_Child,.,.,598,1964,3.284,1.732
020000a.cha,eng,Brown,CHI,2;00.00,female,.,.,.,Target_Child,.,.,424,1442,3.401,1.974
020000b.cha,eng,Brown,CHI,2;00.00,female,.,.,.,Target_Child,.,.,445,1387,3.117,1.963
020100a.cha,eng,Brown,CHI,2;01.00,female,.,.,.,Target_Child,.,.,686,2473,3.605,2.207
020100b.cha,eng,Brown,CHI,2;01.00,female,.,.,.,Target_Child,.,.,602,2140,3.555,2.241
020200a.cha,eng,Brown,CHI,2;02.00,female,.,.,.,Target_Child,.,.,802,2892,3.606,2.548
020200b.cha,eng,Brown,CHI,2;02.00,female,.,.,.,Target_Child,.,.,717,2407,3.357,2.222
020300a.cha,eng,Brown,CHI,2;03.00,female,.,.,.,Target_Child,.,.,579,2055,3.549,2.314
020300b.cha,eng,Brown,CHI,2;03.00,female,.,.,.,Target_Child,.,.,407,1096,2.693,2.028
