File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010600a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,69,1.533,0.686
010600b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,42,90,2.143,1.833
010700a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,100,2.222,1.153
010700b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,50,120,2.4,1.637
010800.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,121,2.521,1.307
010900a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,124,2.696,1.627
010900b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,133,2.956,1.228
010900c.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,47,138,2.936,1.655
011000a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,146,3.042,1.632
011000b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,142,2.898,1.249
011100a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,145,3.021,1.601
011100b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,49,175,3.571,1.895
020000a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,178,3.87,1.676
020000b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,147,3.196,1.929
020100a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,48,177,3.688,2.247
020100b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,45,159,3.533,2.473
020200a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,167,3.63,2.288
020200b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,158,3.435,1.814
020300a.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,193,4.196,1.996
020300b.ipcore.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,43,118,2.744,2.092
