File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020305.cha,eng,Brown,CHI,2;03.05,female,.,.,.,Target_Child,.,.,76,143,1.882,0.827
020307.cha,eng,Brown,CHI,2;03.07,female,.,.,.,Target_Child,.,.,212,398,1.877,0.832
020319.cha,eng,Brown,CHI,2;03.19,female,.,.,.,Target_Child,.,.,274,435,1.588,0.657
020322.cha,eng,Brown,CHI,2;03.22,female,.,.,.,Target_Child,.,.,62,99,1.597,0.706
020326.cha,eng,Brown,CHI,2;03.26,female,.,.,.,Target_Child,.,.,101,150,1.485,0.639
020328.cha,eng,Brown,CHI,2;03.28,female,.,.,.,Target_Child,.,.,155,264,1.703,0.78
020410.cha,eng,Brown,CHI,2;04.10,female,.,.,.,Target_Child,.,.,184,281,1.527,0.714
020412.cha,eng,Brown,CHI,2;04.12,female,.,.,.,Target_Child,.,.,191,363,1.901,0.941
020417.cha,eng,Brown,CHI,2;04.17,female,.,.,.,Target_Child,.,.,117,185,1.581,0.754
020419.cha,eng,Brown,CHI,2;04.19,female,.,.,.,Target_Child,.,.,257,412,1.603,0.807
020426.cha,eng,Brown,CHI,2;04.26,female,.,.,.,Target_Child,.,.,147,254,1.728,0.813
020507.cha,eng,Brown,CHI,2;05.07,female,.,.,.,Target_Child,.,.,158,299,1.892,0.89
020515.cha,eng,Brown,CHI,2;05.15,female,.,.,.,Target_Child,.,.,173,306,1.769,0.896
020525.cha,eng,Brown,CHI,2;05.25,female,.,.,.,Target_Child,.,.,106,232,2.189,1.02
020530.cha,eng,Brown,CHI,2;05.30,female,.,.,.,Target_Child,.,.,201,325,1.617,0.839
020604.cha,eng,Brown,CHI,2;06.04,female,.,.,.,Target_Child,.,.,100,151,1.51,0.728
020613.cha,eng,Brown,CHI,2;06.13,female,.,.,.,Target_Child,.,.,287,494,1.721,1.015
020620.cha,eng,Brown,CHI,2;06.20,female,.,.,.,Target_Child,.,.,316,602,1.905,1.231
020630.cha,eng,Brown,CHI,2;06.30,female,.,.,.,Target_Child,.,.,68,117,1.721,0.82
020705.cha,eng,Brown,CHI,2;07.05,female,.,.,.,Target_Child,.,.,200,363,1.815,0.849
020712.cha,eng,Brown,CHI,2;07.12,female,.,.,.,Target_Child,.,.,269,560,2.082,1.186
020718.cha,eng,Brown,CHI,2;07.18,female,.,.,.,Target_Child,.,.,124,207,1.669,1.06
020728.cha,eng,Brown,CHI,2;07.28,female,.,.,.,Target_Child,.,.,193,354,1.834,0.989
020802.cha,eng,Brown,CHI,2;08.02,female,.,.,.,Target_Child,.,.,187,368,1.968,1.064
020825a.cha,eng,Brown,CHI,2;08.25,female,.,.,.,Target_Child,.,.,205,436,2.127,1.065
020825b.cha,eng,Brown,CHI,2;08.25,female,.,.,.,Target_Child,.,.,290,706,2.434,1.182
020900.cha,eng,Brown,CHI,2;09.00,female,.,.,.,Target_Child,.,.,176,360,2.045,1.224
020906.cha,eng,Brown,CHI,2;09.06,female,.,.,.,Target_Child,.,.,265,600,2.264,1.067
020914.cha,eng,Brown,CHI,2;09.14,female,.,.,.,Target_Child,.,.,176,344,1.955,0.993
020920.cha,eng,Brown,CHI,2;09.20,female,.,.,.,Target_Child,.,.,514,1018,1.981,1.296
020929.cha,eng,Brown,CHI,2;09.29,female,.,.,.,Target_Child,.,.,133,292,2.195,1.329
021005.cha,eng,Brown,CHI,2;10.05,female,.,.,.,Target_Child,.,.,281,682,2.427,1.275
021011.cha,eng,Brown,CHI,2;10.11,female,.,.,.,Target_Child,.,.,160,343,2.144,1.264
021020.cha,eng,Brown,CHI,2;10.20,female,.,.,.,Target_Child,.,.,172,404,2.349,1.412
