File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
020305.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,57,108,1.895,0.831
020307.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,167,1.876,0.791
020319.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,142,1.614,0.665
020322.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,46,76,1.652,0.698
020326.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,64,106,1.656,0.643
020328.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,87,150,1.724,0.798
020410.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,139,1.635,0.717
020412.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,76,157,2.066,0.964
020417.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,73,121,1.658,0.78
020419.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,147,1.729,0.873
020426.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,67,122,1.821,0.88
020507.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,81,154,1.901,0.924
020515.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,77,150,1.948,0.966
020525.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,68,146,2.147,1.033
020530.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,74,131,1.77,0.909
020604.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,78,121,1.551,0.762
020613.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,156,1.773,0.985
020620.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,179,2.106,1.616
020630.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,44,79,1.795,0.842
020705.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,84,140,1.667,0.792
020712.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,189,2.198,1.189
020718.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,153,1.8,1.082
020728.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,87,175,2.011,1.034
020802.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,73,151,2.068,1.011
020825a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,73,174,2.384,1.212
020825b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,84,211,2.512,1.096
020900.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,82,188,2.293,1.254
020906.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,87,199,2.287,1.027
020914.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,84,165,1.964,0.932
020920.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,178,1.935,1.121
020929.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,78,185,2.372,1.406
021005.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,90,228,2.533,1.31
021011.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,202,2.295,1.333
021020.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,82,203,2.476,1.399
021024.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,90,209,2.322,1.444
021102.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,84,221,2.631,1.261
021117.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,236,2.776,1.482
021123.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,208,2.337,1.272
021130.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,99,192,1.939,1.196
030018a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,287,3.12,1.473
030018b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,264,3.07,1.697
030027.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,261,2.806,1.476
030103.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,267,3.105,2.146
030110.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,257,2.734,1.696
030117.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,232,2.698,1.518
030124.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,267,3.105,1.746
030202.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,272,2.957,1.95
030210.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,77,240,3.117,1.802
030216.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,318,3.419,1.622
030223.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,248,2.818,1.655
030307a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,259,2.755,1.742
030307b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,91,297,3.264,2.096
030313.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,99,356,3.596,1.948
030320.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,314,3.568,2.157
030328.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,240,2.553,1.426
030401.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,283,3.076,1.708
030409.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,305,3.177,1.926
030416.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,267,3,1.748
030426.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,282,3.169,2.018
030501.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,90,294,3.267,2.075
030507.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,324,3.411,1.867
030513.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,267,2.84,1.746
030520.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,90,275,3.056,1.779
030606.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,316,3.292,2.38
030616.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,99,286,2.889,1.74
030623.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,338,3.798,2.234
030630.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,355,3.817,2.058
030709.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,367,3.904,2.269
030716.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,373,4.011,2.056
030723.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,370,3.895,2.034
030730.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,380,3.958,2.398
030806.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,351,3.656,1.952
030812.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,344,3.583,2.159
030820.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,341,4.012,2.716
030827.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,315,3.316,2.149
030903.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,314,3.271,1.971
030918.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,274,2.884,1.857
030926a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,87,352,4.046,2.005
030926b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,347,3.899,2.11
031001.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,90,295,3.278,1.938
031009.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,85,308,3.624,2.316
031016.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,375,4.076,2.285
031030.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,293,3.33,2.071
031109.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,37,148,4,2.932
031116.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,355,3.817,2.058
031129.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,83,326,3.928,2.338
040005.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,271,3.151,2.049
040014.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,86,336,3.907,2.351
040028.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,406,4.614,2.484
040104.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,92,373,4.054,2.42
040111.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,273,2.844,2.123
